AppID,Name,ReleaseYear,Genre,Price,DiscountPercent,TotalReviews_SteamSpy,EstimatedRevenue_SteamSpy,TotalReviews_AllLanguages,EstimatedRevenue_AllLanguages
727340,Stitched HD,2017,Indie,$9.99,0%,108,"$53,946.00",110,"$54,945.00"
557850,Magnificent Ships: Volume 1,2016,Indie,$9.99,0%,16,"$7,992.00",16,"$7,992.00"
344270,InnerCube,2015,Indie,$3.99,0%,26,"$5,187.00",26,"$5,187.00"
2775870,Stalked in Solitude,2025,Indie,$2.99,0%,22,"$3,289.00",24,"$3,588.00"
1212370,Boolean,2021,Indie,$6.99,0%,11,"$3,844.50",11,"$3,844.50"
289260,Dreamscapes: The Sandman - Premium Edition,2014,Indie,$6.99,0%,260,"$90,870.00",264,"$92,268.00"
1773560,The Tree,2022,Indie,$4.99,0%,32,"$7,984.00",32,"$7,984.00"
545590,Button Tales,2016,Indie,$10.99,0%,146,"$80,227.00",149,"$81,875.50"
661120,Mercury: Cascade into Madness,2017,Indie,$8.99,0%,51,"$22,924.50",52,"$23,374.00"
386970,Memory's Dogma CODE:01,2016,Indie,$14.99,0%,363,"$272,068.50",362,"$271,319.00"
2167990,Bear No Grudge,2023,Indie,$8.99,0%,12,"$5,394.00",12,"$5,394.00"
2472990,Paper Plane,2023,Indie,$1.99,0%,14,"$1,393.00",14,"$1,393.00"
1990810,Monkey Adventure,2022,Indie,$0.99,0%,14,$693.00,21,"$1,039.50"
3003530,The Tunnels of Saint Mercy Road,2024,Indie,$4.99,0%,22,"$5,489.00",22,"$5,489.00"
1912490,Koncolos,2022,Indie,$4.99,0%,29,"$7,235.50",29,"$7,235.50"
862920,Kitsune Kitchen,2018,Indie,$0.99,0%,64,"$3,168.00",65,"$3,217.50"
3398430,Quail Crossing,2025,Indie,$3.99,0%,10,"$1,995.00",13,"$2,593.50"
1837210,Rabbit Meadow,2022,Indie,$4.99,0%,0,$0.00,44,"$10,978.00"
1730020,Teamkill,2022,Indie,$3.99,0%,18,"$3,591.00",19,"$3,790.50"
98100,Trauma,2011,Indie,$2.99,0%,681,"$101,809.50",683,"$102,108.50"
395250,The Adventures of Fatman,2015,Indie,$0.99,0%,185,"$9,157.50",187,"$9,256.50"
1400620,Ballsy! World Cup 2020,2020,Indie,$2.99,0%,30,"$4,485.00",30,"$4,485.00"
735550,Crazy Soccer: Football Stars,2018,Indie,$9.99,0%,29,"$14,485.50",29,"$14,485.50"
448780,Sixtieth Kilometer,2016,Indie,$4.99,0%,1771,"$441,864.50",1773,"$442,363.50"
749860,Super Sportmatchen,2018,Indie,$14.99,0%,71,"$53,214.50",70,"$52,465.00"
1427970,Asian Riddles 3,2020,Indie,$4.99,0%,11,"$2,744.50",11,"$2,744.50"
1493960,Move 78,2022,Indie,$14.99,0%,48,"$35,976.00",48,"$35,976.00"
2664910,LOCKED,2023,Indie,$1.99,0%,40,"$3,980.00",42,"$4,179.00"
1295760,Moonfall,2020,Indie,$4.99,0%,16,"$3,992.00",16,"$3,992.00"
1874220,GO,2022,Indie,$0.99,0%,23,"$1,138.50",23,"$1,138.50"
340270,TIMEframe,2015,Indie,$5.99,0%,685,"$205,157.50",689,"$206,355.50"
2238360,You Have No Time,2023,Indie,$3.99,0%,15,"$2,992.50",16,"$3,192.00"
3149960,American Election Simulator,2024,Indie,$11.48,0%,14,"$8,036.00",15,"$8,610.00"
1100930,Legioncraft,2022,Indie,$13.99,0%,1371,"$959,014.50",1371,"$959,014.50"
690630,Light Fantastik,2018,Indie,$3.99,0%,30,"$5,985.00",30,"$5,985.00"
2323550,UDO,2024,Indie,$14.99,0%,13,"$9,743.50",13,"$9,743.50"
2862730,Abnormal1999:Apartment of Death,2024,Indie,$2.99,0%,43,"$6,428.50",43,"$6,428.50"
1392130,Game Of Puzzles: Slavic Mythology,2020,Indie,$0.99,0%,27,"$1,336.50",29,"$1,435.50"
558410,Cannonfire Concerto,2016,Indie,$5.99,0%,18,"$5,391.00",18,"$5,391.00"
2955050,Cursed Places: Hotel Floor 13,2024,Indie,$1.99,0%,17,"$1,691.50",17,"$1,691.50"
298820,Millennium 2 - Take Me Higher,2014,Indie,$0.99,90%,78,"$3,861.00",79,"$3,910.50"
3415340,Ox & Horse Work in Hell,2025,Indie,$8.99,0%,0,$0.00,31,"$13,934.50"
494580,STANDBY,2017,Indie,$0.89,70%,225,"$10,012.50",225,"$10,012.50"
1358760,Portability,2020,Indie,$2.99,0%,13,"$1,943.50",13,"$1,943.50"
841350,NALOGI 2,2018,Indie,$1.99,0%,348,"$34,626.00",350,"$34,825.00"
2491620,Dimenders,2025,Indie,$9.99,0%,17,"$8,491.50",18,"$8,991.00"
1259130,Rover Wars,2020,Indie,$6.99,0%,31,"$10,834.50",31,"$10,834.50"
370130,Lion Quest,2016,Indie,$5.99,0%,66,"$19,767.00",65,"$19,467.50"
1433430,Level 20,2020,Indie,$0.99,0%,15,$742.50,15,$742.50
1283000,Hi-Score Boi,2020,Indie,$1.99,0%,35,"$3,482.50",35,"$3,482.50"
1240690,PIVO,2020,Indie,$7.99,0%,27,"$10,786.50",27,"$10,786.50"
385070,Atonement: Scourge of Time,2015,Indie,$5.99,0%,395,"$118,302.50",395,"$118,302.50"
1230560,Cyber Attack,2020,Indie,$4.99,0%,179,"$44,660.50",180,"$44,910.00"
2946040,Jade Guardian,2024,Indie,$29.99,0%,10,"$14,995.00",10,"$14,995.00"
1135110,Hoco Poco,2020,Indie,$2.99,0%,19,"$2,840.50",20,"$2,990.00"
1771200,Cat Box Paradox,2021,Indie,$3.99,0%,38,"$7,581.00",39,"$7,780.50"
953950,Kubble,2018,Indie,$0.99,0%,26,"$1,287.00",26,"$1,287.00"
3025800,Demon Slayer,2024,Indie,$29.99,0%,16,"$23,992.00",16,"$23,992.00"
2059650,FETUS,2022,Indie,$4.99,0%,20,"$4,990.00",31,"$7,734.50"
320330,Earthworms,2018,Indie,$5.99,0%,186,"$55,707.00",188,"$56,306.00"
490040,Child of the Wind,2017,Indie,$7.99,0%,17,"$6,791.50",16,"$6,392.00"
1882420,Learn Programming: Python - Remake,2022,Indie,$2.99,0%,53,"$7,923.50",56,"$8,372.00"
2994950,Throw Bro,2024,Indie,$6.99,0%,19,"$6,640.50",19,"$6,640.50"
2159230,Ace Pilot Europe,2022,Indie,$3.73,50%,12,"$2,238.00",11,"$2,051.50"
2200760,The Bogtavern,2022,Indie,$2.99,0%,28,"$4,186.00",29,"$4,335.50"
2715370,Ancient Cultivatrix,2025,Indie,$8.99,0%,383,"$172,158.50",333,"$149,683.50"
1089930,Aeon Must Die!,2021,Indie,$19.99,0%,116,"$115,942.00",118,"$117,941.00"
2206680,Halt,2022,Indie,$4.99,0%,15,"$3,742.50",53,"$13,223.50"
579720,Neverout,2017,Indie,$3.99,0%,227,"$45,286.50",227,"$45,286.50"
1212930,Doler,2020,Indie,$2.99,0%,13,"$1,943.50",14,"$2,093.00"
1522560,100 hidden mice,2021,Indie,$1.99,0%,418,"$41,591.00",427,"$42,486.50"
1484600,Stand By Me,2021,Indie,$5.99,0%,28,"$8,386.00",36,"$10,782.00"
1092800,Summit of the Wolf,2020,Indie,$14.99,0%,18,"$13,491.00",18,"$13,491.00"
1519550,Rebellion Gaia,2021,Indie,$0.99,0%,19,$940.50,19,$940.50
603360,CryptoMoneya,2017,Indie,$0.99,0%,219,"$10,840.50",218,"$10,791.00"
3693360,Ghost In The Grid,2025,Indie,$1.99,0%,0,$0.00,20,"$1,990.00"
2946070,Descent the Abyss,2024,Indie,$29.99,0%,13,"$19,493.50",13,"$19,493.50"
1564930,Angry Space Bees,2021,Indie,$0.99,0%,32,"$1,584.00",31,"$1,534.50"
2087940,Non-Stop Raiders,2023,Indie,$1.99,0%,80,"$7,960.00",81,"$8,059.50"
1991450,Philosophical Jigsaw - The Zen Koans,2022,Indie,$1.39,30%,23,"$1,598.50",23,"$1,598.50"
527810,Dynamite Alex,2016,Indie,$0.99,0%,42,"$2,079.00",42,"$2,079.00"
2206480,GasZilla,2022,Indie,$4.99,0%,15,"$3,742.50",30,"$7,485.00"
283230,Spoiler Alert,2014,Indie,$2.99,0%,1275,"$190,612.50",1276,"$190,762.00"
1094340,Cardboard Ground,2020,Indie,$9.99,0%,26,"$12,987.00",27,"$13,486.50"
1124660,STORM AREA 51: AYY LMAO EDITION,2019,Indie,$2.99,0%,1013,"$151,443.50",1014,"$151,593.00"
528510,Turbo Pug 3D,2016,Indie,$1.99,0%,379,"$37,710.50",386,"$38,407.00"
1304170,Drifter King Online,2020,Indie,$4.99,0%,22,"$5,489.00",22,"$5,489.00"
352130,Locoland,2015,Indie,$4.99,0%,169,"$42,165.50",173,"$43,163.50"
2372910,FolcDark,2023,Indie,$2.99,0%,30,"$4,485.00",30,"$4,485.00"
3318730,Anomalies Detective,2024,Indie,$2.99,0%,62,"$9,269.00",60,"$8,970.00"
1495080,Asian Riddles 4,2021,Indie,$4.99,0%,20,"$4,990.00",21,"$5,239.50"
693800,Loco Parentis / 孤女咒怨,2019,Indie,$9.99,0%,514,"$256,743.00",514,"$256,743.00"
805320,Conjuror's Eye,2018,Indie,$0.99,0%,32,"$1,584.00",31,"$1,534.50"
2165380,Hunting Labyrinth,2023,Indie,$15.99,0%,51,"$40,774.50",53,"$42,373.50"
1180110,DeadShotZ,2019,Indie,$1.99,0%,17,"$1,691.50",17,"$1,691.50"
824070,Objects in Space,2019,Indie,$24.99,0%,583,"$728,458.50",588,"$734,706.00"
436140,Empire of the Gods,2016,Indie,$2.99,0%,81,"$12,109.50",82,"$12,259.00"
2625970,Necromorphosis,2024,Indie,$4.99,0%,11,"$2,744.50",12,"$2,994.00"
2407200,OVERWHELMED,2023,Indie,$4.99,0%,24,"$5,988.00",24,"$5,988.00"
3148080,Summon The DUDES!,2024,Indie,$0.99,0%,48,"$2,376.00",53,"$2,623.50"
3122490,Simulator: Parking Lot,2024,Indie,$6.99,0%,18,"$6,291.00",18,"$6,291.00"
1683590,Hustle Game,2021,Indie,$0.99,0%,13,$643.50,14,$693.00
217100,Dementium II HD,2013,Indie,$5.99,0%,1191,"$356,704.50",1205,"$360,897.50"
1815270,PRIMAFLOOWS,2021,Indie,$4.99,0%,18,"$4,491.00",18,"$4,491.00"
2097490,DESORDRE : A Puzzle Game Adventure,2023,Indie,$6.99,0%,86,"$30,057.00",91,"$31,804.50"
234290,Zack Zero,2013,Indie,$2.99,0%,418,"$62,491.00",416,"$62,192.00"
1906150,Pixel Trouble,2022,Indie,$4.99,0%,15,"$3,742.50",15,"$3,742.50"
810780,RAIN Project - a touhou fangame,2018,Indie,$7.99,0%,119,"$47,540.50",121,"$48,339.50"
600660,Kimmy,2017,Indie,$9.99,0%,69,"$34,465.50",69,"$34,465.50"
274560,Revolution Ace,2014,Indie,$4.99,0%,1922,"$479,539.00",1873,"$467,313.50"
1610840,Virtuous Western,2021,Indie,$1.99,0%,49,"$4,875.50",48,"$4,776.00"
1798740,"TEN - Ten Rooms, Ten Seconds",2022,Indie,$4.99,0%,20,"$4,990.00",20,"$4,990.00"
1751970,A Blast From The Past,2023,Indie,$5.99,0%,17,"$5,091.50",17,"$5,091.50"
99400,Garshasp: The Monster Slayer,2011,Indie,$4.99,0%,375,"$93,562.50",379,"$94,560.50"
486020,Hero,2017,Indie,$4.99,0%,114,"$28,443.00",119,"$29,690.50"
805920,Seek Etyliv,2018,Indie,$5.19,0%,65,"$16,867.50",65,"$16,867.50"
3437060,Black Fairy Tale,2025,Indie,$1.99,0%,40,"$3,980.00",40,"$3,980.00"
1217310,One True Cuddle,2020,Indie,$2.99,0%,14,"$2,093.00",14,"$2,093.00"
556890,Dreamcage Escape,2016,Indie,$1.99,0%,91,"$9,054.50",90,"$8,955.00"
464610,Led It Rain,2018,Indie,$11.99,0%,37,"$22,181.50",38,"$22,781.00"
982540,Hyss,2018,Indie,$14.99,0%,29,"$21,735.50",29,"$21,735.50"
2945350,Wukong's Pool,2024,Indie,$5.99,0%,20,"$5,990.00",21,"$6,289.50"
343930,Fort Defense,2015,Indie,$14.99,0%,417,"$312,541.50",418,"$313,291.00"
1161680,Bomb Bowling 2,2019,Indie,$4.99,0%,12,"$2,994.00",12,"$2,994.00"
1408860,Silence Channel,2021,Indie,$4.99,0%,153,"$38,173.50",158,"$39,421.00"
1038620,House of 1000 Doors: Evil Inside,2019,Indie,$6.99,0%,133,"$46,483.50",134,"$46,833.00"
1145120,Last Summer Iteration,2019,Indie,$2.99,0%,36,"$5,382.00",38,"$5,681.00"
"33100,33110,33120,33130",Sigma`s Shooter Pack,2009,Indie,$14.99,0%,4285,"$3,211,607.50",4393,"$3,292,553.50"
408770,Highschool Possession,2015,Indie,$9.99,0%,178,"$88,911.00",178,"$88,911.00"
2129020,Last Christmas,2023,Indie,$3.99,50%,43,"$8,578.50",43,"$8,578.50"
857010,HUBE: Seeker of Achievements,2018,Indie,$0.99,0%,252,"$12,474.00",257,"$12,721.50"
1823030,Cursed Broom,2024,Indie,$9.99,0%,18,"$8,991.00",19,"$9,490.50"
1640760,WORDLAND 2,2021,Indie,$1.99,0%,22,"$2,189.00",22,"$2,189.00"
1930030,Trash Pit,2022,Indie,$4.99,0%,11,"$2,744.50",11,"$2,744.50"
1677260,Oatmeal,2021,Indie,$4.99,0%,49,"$12,225.50",49,"$12,225.50"
3540460,Watermelon (with a Broken Head) Game,2025,Indie,$2.24,25%,9,"$1,008.00",18,"$2,016.00"
2433820,SUPRACORE,2023,Indie,$4.99,0%,13,"$3,243.50",13,"$3,243.50"
1542110,Daydream: Forgotten Sorrow,2023,Indie,$19.99,0%,262,"$261,869.00",267,"$266,866.50"
2766650,Chicago Project,2024,Indie,$5.99,0%,29,"$8,685.50",32,"$9,584.00"
780130,Simulation,2024,Indie,$3.99,0%,12,"$2,394.00",12,"$2,394.00"
2960300,Mars Mirage,2024,Indie,$3.99,0%,20,"$3,990.00",20,"$3,990.00"
582530,Wacky Spores: The Chase,2017,Indie,$8.99,0%,15,"$6,742.50",15,"$6,742.50"
2840990,Elevator Zero,2024,Indie,$3.99,0%,54,"$10,773.00",54,"$10,773.00"
2346490,Loop,2023,Indie,$2.99,0%,34,"$5,083.00",34,"$5,083.00"
2320040,Skies above the Great War,2024,Indie,$11.99,0%,99,"$59,350.50",106,"$63,547.00"
